index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 17:21:12.452, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 17:21:12.455, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 17:21:12.458, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 17:21:12.461, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 17:21:12.466, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 17:21:12.468, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 17:21:12.471, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 17:21:12.473, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 17:21:17.481, 54.68 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 17:21:17.483, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 17:21:17.484, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 17:21:17.487, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 17:21:17.489, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 17:21:17.491, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 17:21:17.493, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 17:21:17.495, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 17:21:22.497, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30825 MiB, 1684 MiB
1, 2022/08/02 17:21:22.498, 55.17 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],5%,0%,32, P0, 32768 MiB, 31795 MiB, 714 MiB
2, 2022/08/02 17:21:22.500, 42.45 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 17:21:22.502, 41.96 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 17:21:22.504, 40.45 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 17:21:22.505, 41.44 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 17:21:22.507, 42.91 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 17:21:22.509, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 17:21:27.511, 273.71 W, 1500 MHz, 877 MHz, 1500 MHz, [N/A],100%,58%,41, P0, 32768 MiB, 21547 MiB, 10962 MiB
1, 2022/08/02 17:21:27.515, 219.18 W, 1492 MHz, 877 MHz, 1492 MHz, [N/A],94%,59%,43, P0, 32768 MiB, 22051 MiB, 10458 MiB
2, 2022/08/02 17:21:27.517, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 17:21:27.519, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 17:21:27.521, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 17:21:27.524, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 17:21:27.526, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 17:21:27.528, 40.45 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 17:21:32.530, 247.21 W, 1500 MHz, 877 MHz, 1500 MHz, [N/A],100%,64%,44, P0, 32768 MiB, 21547 MiB, 10962 MiB
1, 2022/08/02 17:21:32.532, 210.38 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],97%,57%,45, P0, 32768 MiB, 22051 MiB, 10458 MiB
2, 2022/08/02 17:21:32.534, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 17:21:32.536, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 17:21:32.537, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 17:21:32.539, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 17:21:32.541, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 17:21:32.543, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
