index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 21:55:01.434, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 21:55:01.438, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 21:55:01.441, 56.23 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 21:55:01.444, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 21:55:01.449, 52.26 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 21:55:01.451, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 21:55:01.453, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 21:55:01.456, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 21:55:06.464, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 21:55:06.466, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 21:55:06.468, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 21:55:06.469, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 21:55:06.472, 52.26 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 21:55:06.473, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 21:55:06.475, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 21:55:06.477, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 21:55:11.479, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30851 MiB, 1658 MiB
1, 2022/08/02 21:55:11.480, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],3%,0%,33, P0, 32768 MiB, 32001 MiB, 508 MiB
2, 2022/08/02 21:55:11.482, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32193 MiB, 316 MiB
3, 2022/08/02 21:55:11.484, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
4, 2022/08/02 21:55:11.485, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
5, 2022/08/02 21:55:11.487, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32193 MiB, 316 MiB
6, 2022/08/02 21:55:11.489, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32193 MiB, 316 MiB
7, 2022/08/02 21:55:11.490, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 21:55:16.492, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30851 MiB, 1658 MiB
1, 2022/08/02 21:55:16.494, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31385 MiB, 1124 MiB
2, 2022/08/02 21:55:16.496, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31385 MiB, 1124 MiB
3, 2022/08/02 21:55:16.497, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],4%,0%,29, P0, 32768 MiB, 31483 MiB, 1026 MiB
4, 2022/08/02 21:55:16.499, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
5, 2022/08/02 21:55:16.501, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32193 MiB, 316 MiB
6, 2022/08/02 21:55:16.503, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32193 MiB, 316 MiB
7, 2022/08/02 21:55:16.505, 40.45 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 21:55:21.507, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30851 MiB, 1658 MiB
1, 2022/08/02 21:55:21.508, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31385 MiB, 1124 MiB
2, 2022/08/02 21:55:21.510, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31385 MiB, 1124 MiB
3, 2022/08/02 21:55:21.512, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 31385 MiB, 1124 MiB
4, 2022/08/02 21:55:21.514, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 31385 MiB, 1124 MiB
5, 2022/08/02 21:55:21.515, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 31385 MiB, 1124 MiB
6, 2022/08/02 21:55:21.517, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],5%,0%,32, P0, 32768 MiB, 31681 MiB, 828 MiB
7, 2022/08/02 21:55:21.519, 40.45 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 21:55:26.522, 291.01 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,59%,40, P0, 32768 MiB, 26617 MiB, 5892 MiB
1, 2022/08/02 21:55:26.524, 239.47 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,46%,42, P0, 32768 MiB, 27989 MiB, 4520 MiB
