index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 15:52:09.997, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 15:52:10.001, 53.21 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 15:52:10.004, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 15:52:10.007, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 15:52:10.011, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 15:52:10.014, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 15:52:10.016, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 15:52:10.019, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,27, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 15:52:15.027, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 15:52:15.029, 53.21 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 15:52:15.030, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 15:52:15.032, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 15:52:15.034, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 15:52:15.036, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 15:52:15.038, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 15:52:15.039, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
