index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
3, 2022/05/12 14:20:51.690, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:20:51.692, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:20:51.694, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:20:51.696, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:20:51.697, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:20:56.699, 179.74 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,34%,45, P0,32510,27673,4837
1, 2022/05/12 14:20:56.701, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,33, P0,32510,32507,3
2, 2022/05/12 14:20:56.703, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:20:56.705, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:20:56.707, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:20:56.709, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:20:56.711, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:20:56.713, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:01.715, 172.23 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,35%,45, P0,32510,27673,4837
1, 2022/05/12 14:21:01.717, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:01.719, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:01.721, 39.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:01.723, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:01.725, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:01.726, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:01.728, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:06.730, 168.72 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,32%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:06.732, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:06.734, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:06.736, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:06.739, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:06.741, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:06.743, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:06.745, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:11.747, 169.21 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:11.749, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:11.751, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:11.753, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:11.755, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:11.757, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:11.759, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:11.761, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:16.763, 175.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:16.765, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:16.767, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:16.768, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:16.770, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:16.772, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:16.775, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:16.777, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:21.779, 175.02 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,33%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:21.781, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:21.783, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:21.784, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:21.786, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:21.788, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:21.790, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:21.792, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:26.794, 178.89 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:26.796, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:26.798, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:26.800, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:26.802, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:26.804, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:26.806, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:26.807, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:31.809, 169.95 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:31.812, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:31.814, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:31.816, 39.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:31.817, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:31.819, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:31.822, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:31.824, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:36.826, 168.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:36.828, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:36.830, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:36.831, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:36.833, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:36.835, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:36.837, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:36.839, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:41.841, 163.39 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:41.843, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:41.845, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:41.847, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:41.849, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:41.851, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:41.853, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:41.855, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:46.857, 162.04 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:46.859, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:46.861, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:46.863, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:46.865, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:46.867, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:46.869, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:46.871, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:51.873, 189.91 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],87%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:51.875, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:51.876, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:51.879, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:51.880, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:51.882, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:51.884, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:51.886, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:21:56.888, 176.84 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:21:56.890, 40.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:21:56.892, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:21:56.894, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:21:56.896, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:21:56.898, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:21:56.900, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:21:56.902, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:01.904, 185.07 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:01.906, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:01.908, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:01.910, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:01.912, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:01.914, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:01.915, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:01.917, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:06.919, 160.97 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],90%,28%,45, P0,32510,27673,4837
1, 2022/05/12 14:22:06.921, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:06.923, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:06.925, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:06.928, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:06.930, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:06.932, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:06.934, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:11.936, 173.45 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:11.938, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:11.940, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:11.942, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:11.944, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:11.946, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:11.948, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:11.950, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:16.952, 159.51 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:16.954, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:16.956, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:16.958, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:16.960, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:16.961, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:16.963, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:16.965, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:21.967, 171.14 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:21.969, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:21.971, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:21.973, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:21.975, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:21.977, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:21.979, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:21.981, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:26.983, 163.39 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:26.985, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:26.987, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:26.989, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:26.992, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:26.994, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:26.995, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:26.997, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:31.999, 185.68 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:32.001, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:32.003, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:32.005, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:32.007, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:32.009, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:32.011, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:32.013, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:37.015, 173.08 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,35%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:37.017, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:37.019, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:37.021, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:37.023, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32507,3
5, 2022/05/12 14:22:37.025, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:37.027, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:37.029, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:42.031, 167.27 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],91%,28%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:42.033, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:42.035, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:42.037, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:42.039, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:42.040, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:42.042, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:42.044, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:47.046, 162.42 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],86%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:47.048, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:47.050, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:47.052, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:47.054, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:47.056, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:47.058, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:47.060, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:22:52.063, 166.41 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],85%,34%,46, P0,32510,27673,4837
1, 2022/05/12 14:22:52.065, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,34, P0,32510,32507,3
2, 2022/05/12 14:22:52.066, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:22:52.068, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:22:52.070, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:22:52.072, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
6, 2022/05/12 14:22:52.074, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
7, 2022/05/12 14:22:52.076, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
