index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 20:25:02.113, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 20:25:02.116, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
2, 2022/08/02 20:25:02.123, 56.06 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 20:25:02.127, 52.65 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 20:25:02.130, 52.13 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 20:25:02.134, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 20:25:02.137, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 20:25:02.140, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 20:25:07.144, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],1%,0%,29, P0, 32768 MiB, 31935 MiB, 574 MiB
1, 2022/08/02 20:25:07.146, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 20:25:07.148, 56.06 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 20:25:07.149, 52.65 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 20:25:07.151, 52.13 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 20:25:07.153, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:25:07.155, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:25:07.156, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:25:12.158, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 20:25:12.160, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 20:25:12.162, 42.47 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 20:25:12.167, 41.98 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 20:25:12.169, 40.49 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 20:25:12.171, 41.47 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:25:12.173, 48.73 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:25:12.176, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:25:17.178, 54.60 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30843 MiB, 1666 MiB
1, 2022/08/02 20:25:17.180, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],4%,0%,31, P0, 32768 MiB, 31541 MiB, 968 MiB
2, 2022/08/02 20:25:17.181, 56.54 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32193 MiB, 316 MiB
3, 2022/08/02 20:25:17.183, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
