index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 20:55:07.176, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 20:55:07.180, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 20:55:07.183, 56.23 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 20:55:07.187, 53.28 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 20:55:07.191, 52.26 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 20:55:07.193, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 20:55:07.196, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 20:55:07.199, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 20:55:12.207, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 20:55:12.210, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 20:55:12.211, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 20:55:12.213, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 20:55:12.215, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 20:55:12.216, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:55:12.218, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:55:12.219, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:55:17.222, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30847 MiB, 1662 MiB
1, 2022/08/02 20:55:17.226, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],3%,0%,32, P0, 32768 MiB, 31977 MiB, 532 MiB
2, 2022/08/02 20:55:17.229, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32193 MiB, 316 MiB
3, 2022/08/02 20:55:17.231, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
4, 2022/08/02 20:55:17.233, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
5, 2022/08/02 20:55:17.234, 41.44 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:55:17.236, 47.34 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:55:17.238, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:55:22.240, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30847 MiB, 1662 MiB
1, 2022/08/02 20:55:22.242, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31381 MiB, 1128 MiB
2, 2022/08/02 20:55:22.243, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 31381 MiB, 1128 MiB
3, 2022/08/02 20:55:22.246, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],4%,0%,29, P0, 32768 MiB, 31433 MiB, 1076 MiB
4, 2022/08/02 20:55:22.248, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32193 MiB, 316 MiB
5, 2022/08/02 20:55:22.250, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:55:22.251, 41.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:55:22.253, 40.48 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:55:27.256, 275.97 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,64%,39, P0, 32768 MiB, 26321 MiB, 6188 MiB
1, 2022/08/02 20:55:27.259, 213.03 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,54%,41, P0, 32768 MiB, 27037 MiB, 5472 MiB
2, 2022/08/02 20:55:27.260, 227.49 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],87%,49%,44, P0, 32768 MiB, 26997 MiB, 5512 MiB
3, 2022/08/02 20:55:27.262, 178.59 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,49%,37, P0, 32768 MiB, 27933 MiB, 4576 MiB
4, 2022/08/02 20:55:27.263, 136.81 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,49%,35, P0, 32768 MiB, 27445 MiB, 5064 MiB
5, 2022/08/02 20:55:27.266, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 20:55:27.268, 41.88 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 20:55:27.270, 40.35 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 20:55:32.272, 270.05 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],87%,56%,41, P0, 32768 MiB, 26321 MiB, 6188 MiB
1, 2022/08/02 20:55:32.274, 258.32 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],88%,47%,43, P0, 32768 MiB, 27037 MiB, 5472 MiB
