index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 22:25:08.322, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 22:25:08.326, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 22:25:08.329, 56.23 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 22:25:08.332, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 22:25:08.336, 52.26 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 22:25:08.339, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 22:25:08.341, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 22:25:08.344, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 22:25:13.352, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 22:25:13.354, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0, 32768 MiB, 32506 MiB, 3 MiB
