[7l----system---- ----total-cpu-usage---- ------memory-usage----- ---load-avg---
     time     |usr sys idl wai hiq siq| used  buff  cach  free| 1m   5m  15m 
02-08 18:14:55|  2   0  98   0   0   0|22.8G  616M  317G  414G|0.17 0.84 1.60
02-08 18:14:56|  1   1  98   0   0   0|22.8G  616M  317G  414G|0.17 0.84 1.60
02-08 18:14:57|  0   1  98   0   0   0|22.9G  616M  317G  414G|0.17 0.84 1.60
02-08 18:14:58|  0   1  99   0   0   0|22.9G  616M  317G  414G|0.47 0.89 1.61
02-08 18:14:59|  0   1  99   0   0   0|22.9G  616M  317G  414G|0.47 0.89 1.61
02-08 18:15:00|  0   1  99   0   0   0|22.9G  616M  317G  414G|0.47 0.89 1.61
02-08 18:15:01|  0   1  99   0   0   0|23.2G  616M  317G  413G|0.47 0.89 1.61
02-08 18:15:02|  1   0  99   0   0   0|23.7G  616M  317G  413G|0.47 0.89 1.61
02-08 18:15:03|  1   0  99   0   0   0|24.1G  616M  317G  412G|0.44 0.88 1.61
02-08 18:15:04|  1   0  99   0   0   0|24.9G  616M  317G  412G|0.44 0.88 1.61
02-08 18:15:05|  1   0  99   0   0   0|25.0G  616M  317G  412G|0.44 0.88 1.61
02-08 18:15:06|  1   0  99   0   0   0|25.1G  616M  317G  412G|0.44 0.88 1.61
02-08 18:15:07|  1   0  99   0   0   0|25.1G  616M  317G  411G|0.44 0.88 1.61
02-08 18:15:08|  1   0  99   0   0   0|25.2G  616M  317G  411G|0.56 0.89 1.61
02-08 18:15:09| 10   0  89   0   0   0|25.7G  616M  317G  411G|0.56 0.89 1.61
02-08 18:15:10|  4   1  94   0   0   0|26.2G  616M  318G  409G|0.56 0.89 1.61
02-08 18:15:11|  2   0  98   0   0   0|26.4G  616M  319G  409G|0.56 0.89 1.61
02-08 18:15:12|  1   0  99   0   0   0|26.7G  616M  319G  409G|0.56 0.89 1.61
02-08 18:15:13|  1   0  99   0   0   0|27.0G  616M  319G  408G|0.60 0.90 1.60
02-08 18:15:14|  1   0  98   0   0   0|27.3G  616M  319G  408G|0.60 0.90 1.60
02-08 18:15:15|  0   0  99   0   0   0|27.4G  616M  319G  408G|0.60 0.90 1.60
02-08 18:15:16|  0   0 100   0   0   0|27.4G  616M  319G  408G|0.60 0.90 1.60
02-08 18:15:17|  4   1  95   0   0   0|27.4G  616M  319G  408G|0.60 0.90 1.60
02-08 18:15:18|  5   1  94   0   0   0|27.5G  616M  319G  408G|0.71 0.91 1.61
