index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
4, 2022/08/02 18:44:10.999, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:11.002, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:11.004, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:11.006, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:16.008, 276.76 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,65%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:16.010, 262.18 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,56%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:16.011, 294.67 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],94%,52%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:16.013, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:16.015, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:16.016, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:16.018, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:16.020, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:21.022, 237.29 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,64%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:21.023, 250.63 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],98%,59%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:21.035, 296.63 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],99%,57%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:21.037, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:21.039, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:21.040, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:21.042, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:21.044, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:26.046, 215.12 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,61%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:26.047, 207.93 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,54%,57, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:26.049, 227.93 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,52%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:26.051, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:26.053, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:26.055, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:26.057, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:26.059, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:31.061, 284.07 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,65%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:31.063, 266.88 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,55%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:31.064, 311.59 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,57%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:31.066, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:31.068, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:31.072, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:31.074, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:31.075, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:36.077, 215.12 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,64%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:36.079, 214.78 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,60%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:36.081, 226.96 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],93%,51%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:36.083, 40.84 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:36.084, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:36.086, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:36.088, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:36.089, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:41.092, 220.50 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,60%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:41.093, 193.75 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,58%,57, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:41.097, 210.44 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],100%,58%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:41.099, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:41.100, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:41.102, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:41.104, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:41.106, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:46.107, 185.32 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,65%,53, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:46.109, 189.84 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,55%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:46.111, 216.67 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],92%,53%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:46.112, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:46.115, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:46.116, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:46.118, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:46.120, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:51.122, 199.13 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,64%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:51.130, 200.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,60%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:51.131, 225.98 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],90%,52%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:51.133, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:51.135, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:51.136, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:51.138, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:51.140, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:44:56.141, 221.82 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,61%,53, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:44:56.143, 170.77 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,57%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:44:56.145, 193.15 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],88%,51%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:44:56.148, 40.84 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:44:56.150, 39.42 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:44:56.152, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:44:56.153, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:44:56.155, 40.40 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
