index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 21:25:01.766, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 21:25:01.770, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 21:25:01.773, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 21:25:01.777, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 21:25:01.781, 52.26 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 21:25:01.784, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 21:25:01.787, 55.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 21:25:01.790, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 21:25:06.798, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 21:25:06.800, 53.73 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 21:25:06.801, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 21:25:06.803, 53.24 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 21:25:06.804, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 21:25:06.806, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 21:25:06.809, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 21:25:06.811, 54.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 21:25:11.812, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 30849 MiB, 1660 MiB
